Tasks,Q1,Q1 - Ag,Q1 - Diff,Q2,Q2 - Ag,Q2 - Diff,Q3,Q3 - Ag,Q3 - Diff,Q4,Q4 - Ag,Q4 - Diff,Q5,Q5 - Ag,Q5 - Diff,Q6,Q6 - Ag,Q6 - Diff,Q7,Q7 - Ag,Q7 - Diff,Q8,Q8 - Ag,Q8 - Diff,Q9,Q9 - Ag,Q9 - Diff,Q10,Q10 - Ag,Q10 - Diff
1,150,0.66,5,14,0.80,5,42,0.80,1,28,0.71,1,35,0.80,1,79,0.77,5,120,0.80,5,74,0.80,5,27,1,5,54,0.80,5
2,77_3,0.60,20,73_4,0.71,1,66_1,0.69,10,4_1,0.77,10,49_3,0.80,5,18_1,0.75,10,98_2,0.60,20,11_1,0.6,40,79_4,0.75,5,78_0,0.71,20
3,162,0.75,10,17,0.80,10,50,0.75,10,19,0.75,10,99,0.75,5,70,0.6,5,8,0.69,5,73,0.69,5,36,0.75,10,131,0.77,5
4,67_2,0.69,20,83_3,0.77,20,28_1,0.65,20,83_0,0.60,20,48_2,0.71,10,8_1,0.80,10,25,0.75,20,75_0,0.75,5,19_1,0.80,5,0_2,0.69,20
5,32,0.65,40,147,0.69,40,80,0.60,10,132,0.69,20,56,0.77,5,59,0.66,10,91_1,0.64,10,40,0.65,10,151,0.75,5,141,0.70,10
6,17_5,0.66,10,66_0,0.77,20,47_0,0.80,10,50_2,0.60,10,97_1,0.69,20,46_0,0.77,20,84,0.71,5,37_2,0.75,20,32_0,0.80,10,93_2,0.64,20
7,2,0.71,10,58,0.60,5,13,0.77,10,126,0.60,20,16,0.80,5,140,0.60,5,72_1,0.65,10,82,1.0,5,9,0.80,5,48,0.80,5
8,72_7,0.65,20,6_0,0.71,5,49_0,0.69,5,77_2,0.6,20,47_1,0.77,5,38_1,0.64,40,156,0.77,10,1_4,0.80,1,20_3,0.77,10,79_5,0.60,10
9,116,0.75,20,139,0.80,10,113,0.80,10,65,0.75,20,157,0.80,5,127,0.60,10,20_0,0.80,5,18,0.70,5,64,0.80,5,104,0.75,10
10,56_3,0.60,10,43_3,0.69,5,63_1,0.65,20,95_0,0.71,20,26_2,0.80,10,51_0,0.71,> 40,158,0.75,10,22_3,0.75,5,91_2,0.64,5,43_1,0.69,5
11,26,0.75,10,39,0.60,40,114,0.69,20,75,0.60,20,106,0.80,5,20,0.80,10,35_2,0.55,40,12,0.80,5,102,0.75,5,123,0.70,10
12,81_1,0.69,20,2_0,0.75,40,9_1,0.60,10,70_2,0.71,5,94_2,0.80,5,41_2,0.60,20,98_1,0.65,10,3_1,0.75,5,80_3,0.77,20,42_1,0.80,10
